id;%Area_0to5 min;%Area_5to15 min;%Area_15to30 min;%Area_>30 min
3401;26%;38%;21%;15%
3402;49%;36%;11%;3%
3403;12%;26%;30%;31%
3404;57%;33%;6%;3%
3471;100%;0%;0%;0%
34;30%;31%;21%;18%
3402120;37%;47%;16%;0%
3403110;23%;43%;25%;9%
3404090;27%;39%;31%;2%
3403120;0%;14%;18%;68%
3403100;22%;41%;24%;12%
3403010;5%;32%;45%;18%
3403011;8%;52%;17%;23%
3402100;14%;36%;35%;15%
3403020;29%;50%;21%;0%
3403090;43%;33%;21%;3%
3404100;64%;36%;0%;0%
3404120;84%;16%;0%;0%
3404110;65%;35%;0%;0%
3404160;49%;19%;8%;24%
3404150;22%;63%;8%;7%
3404170;17%;51%;28%;4%
3404040;75%;25%;0%;0%
3404060;90%;10%;0%;0%
3404030;64%;36%;0%;0%
3404020;44%;54%;2%;0%
3404140;55%;42%;3%;0%
3404130;74%;26%;0%;0%
3404080;65%;32%;2%;0%
3401110;19%;57%;20%;4%
3402130;91%;9%;0%;0%
3471060;100%;0%;0%;0%
3471050;100%;0%;0%;0%
3471040;100%;0%;0%;0%
3404070;100%;0%;0%;0%
3402050;72%;28%;0%;0%
3402070;100%;0%;0%;0%
3402080;87%;13%;0%;0%
3402060;60%;39%;1%;0%
3402040;48%;37%;14%;0%
3402030;32%;59%;8%;1%
3402020;53%;46%;1%;0%
3402160;47%;46%;7%;0%
3402140;99%;1%;0%;0%
3402110;41%;58%;1%;0%
3401080;5%;22%;30%;43%
3401090;18%;36%;22%;24%
3401070;33%;45%;16%;5%
3402090;17%;46%;29%;9%
3401010;27%;46%;11%;16%
3401020;63%;35%;3%;0%
3401120;4%;32%;54%;10%
3401100;41%;52%;6%;1%
3401060;43%;45%;7%;6%
3401040;24%;28%;30%;18%
3401050;23%;38%;17%;22%
3401030;46%;30%;8%;16%
3402010;23%;44%;30%;3%
3404010;28%;68%;3%;0%
3402170;44%;51%;5%;0%
3471070;100%;0%;0%;0%
3471130;100%;0%;0%;0%
3471140;100%;0%;0%;0%
3404050;86%;14%;0%;0%
3402150;63%;36%;1%;0%
3403070;21%;19%;21%;39%
3403150;6%;31%;17%;46%
3403080;18%;33%;32%;17%
3403050;2%;6%;12%;80%
3403060;19%;17%;20%;43%
3403051;1%;6%;36%;57%
3403040;4%;10%;34%;53%
3403030;4%;19%;47%;30%
3403041;0%;22%;68%;10%
3403140;13%;41%;32%;14%
3403130;6%;26%;50%;18%
3471080;100%;0%;0%;0%
3471120;100%;0%;0%;0%
3471090;100%;0%;0%;0%
3471100;100%;0%;0%;0%
3471110;100%;0%;0%;0%
3471020;100%;0%;0%;0%
3471030;100%;0%;0%;0%
3471010;100%;0%;0%;0%
5206071;0,40%;1,86%;8,89%;88,85%
5206040;4,27%;13,45%;10,35%;71,93%
5206020;10,74%;25,69%;16,21%;47,36%
5206080;0,00%;0,02%;13,70%;86,28%
5206052;0,36%;1,12%;9,65%;88,87%
5206061;0,41%;1,57%;3,73%;94,29%
5206051;0,00%;0,00%;0,09%;99,91%
5206021;0,68%;4,41%;8,25%;86,66%
5206010;0,43%;3,50%;9,24%;86,83%
5206041;5,72%;11,96%;20,64%;61,68%
5206011;0,00%;0,00%;0,02%;99,98%
5206090;0,47%;1,12%;3,16%;95,25%
5206060;2,44%;5,69%;8,92%;82,95%
5206081;0,00%;0,03%;3,29%;96,68%
5206091;0,00%;0,00%;0,00%;100,00%
5206050;1,31%;2,65%;7,64%;88,40%
5206070;0,35%;1,47%;6,75%;91,43%
5206030;8,74%;17,95%;11,11%;62,20%